10:43:02.511 [ApplicationImpl pooled thread 169] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:44:11.490 [ApplicationImpl pooled thread 174] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:44:11.490 [ApplicationImpl pooled thread 174] INFO  com.browserstack.utils.Helpers - null
10:44:11.492 [ApplicationImpl pooled thread 174] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:44:39.920 [ApplicationImpl pooled thread 170] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:44:39.920 [ApplicationImpl pooled thread 170] INFO  com.browserstack.utils.Helpers - null
10:44:39.930 [ApplicationImpl pooled thread 170] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:49:56.572 [ApplicationImpl pooled thread 188] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:49:56.572 [ApplicationImpl pooled thread 188] INFO  com.browserstack.utils.Helpers - null
10:49:56.574 [ApplicationImpl pooled thread 188] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:50:24.878 [ApplicationImpl pooled thread 198] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:50:24.878 [ApplicationImpl pooled thread 198] INFO  com.browserstack.utils.Helpers - null
10:50:24.879 [ApplicationImpl pooled thread 198] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:53:11.246 [ApplicationImpl pooled thread 192] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:53:11.246 [ApplicationImpl pooled thread 192] INFO  com.browserstack.utils.Helpers - null
10:53:11.248 [ApplicationImpl pooled thread 192] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:56:16.275 [ApplicationImpl pooled thread 207] INFO  c.b.l.BrowserStackRunExtension - cucumber java
10:56:16.275 [ApplicationImpl pooled thread 207] INFO  com.browserstack.utils.Helpers - null
10:56:16.277 [ApplicationImpl pooled thread 207] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:11:11.275 [ApplicationImpl pooled thread 218] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:11:11.275 [ApplicationImpl pooled thread 218] INFO  com.browserstack.utils.Helpers - null
11:11:11.277 [ApplicationImpl pooled thread 218] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:11:41.916 [ApplicationImpl pooled thread 218] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:11:41.916 [ApplicationImpl pooled thread 218] INFO  com.browserstack.utils.Helpers - null
11:11:41.917 [ApplicationImpl pooled thread 218] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:12:17.538 [ApplicationImpl pooled thread 219] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:12:17.538 [ApplicationImpl pooled thread 219] INFO  com.browserstack.utils.Helpers - null
11:12:17.539 [ApplicationImpl pooled thread 219] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:12:35.338 [ApplicationImpl pooled thread 220] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:12:35.339 [ApplicationImpl pooled thread 220] INFO  com.browserstack.utils.Helpers - null
11:12:35.341 [ApplicationImpl pooled thread 220] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:16:52.779 [ApplicationImpl pooled thread 217] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:16:52.780 [ApplicationImpl pooled thread 217] INFO  com.browserstack.utils.Helpers - null
11:16:52.782 [ApplicationImpl pooled thread 217] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:41:04.281 [ApplicationImpl pooled thread 231] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:41:04.282 [ApplicationImpl pooled thread 231] INFO  com.browserstack.utils.Helpers - null
11:41:04.284 [ApplicationImpl pooled thread 231] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:46:46.984 [ApplicationImpl pooled thread 238] INFO  c.b.l.BrowserStackRunExtension - cucumber java
11:46:46.985 [ApplicationImpl pooled thread 238] INFO  com.browserstack.utils.Helpers - null
11:46:46.986 [ApplicationImpl pooled thread 238] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:22:30.663 [ApplicationImpl pooled thread 283] INFO  c.b.l.BrowserStackRunExtension - cucumber java
13:22:30.663 [ApplicationImpl pooled thread 283] INFO  com.browserstack.utils.Helpers - null
13:22:30.666 [ApplicationImpl pooled thread 283] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:22:56.599 [ApplicationImpl pooled thread 335] INFO  c.b.l.BrowserStackRunExtension - cucumber java
14:22:56.599 [ApplicationImpl pooled thread 335] INFO  com.browserstack.utils.Helpers - null
14:22:56.601 [ApplicationImpl pooled thread 335] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:24:47.343 [ApplicationImpl pooled thread 337] INFO  c.b.l.BrowserStackRunExtension - cucumber java
14:24:47.344 [ApplicationImpl pooled thread 337] INFO  com.browserstack.utils.Helpers - null
14:24:47.345 [ApplicationImpl pooled thread 337] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:25:31.781 [ApplicationImpl pooled thread 340] INFO  c.b.l.BrowserStackRunExtension - cucumber java
14:25:31.781 [ApplicationImpl pooled thread 340] INFO  com.browserstack.utils.Helpers - null
14:25:31.790 [ApplicationImpl pooled thread 340] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:26:34.935 [ApplicationImpl pooled thread 343] INFO  c.b.l.BrowserStackRunExtension - cucumber java
14:26:34.935 [ApplicationImpl pooled thread 343] INFO  com.browserstack.utils.Helpers - null
14:26:34.935 [ApplicationImpl pooled thread 343] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:29:51.622 [ApplicationImpl pooled thread 335] INFO  c.b.l.BrowserStackRunExtension - cucumber java
